,,,,,PASSING,,,RUSHING,,RECEIVING,,,DEFENSE,,,,,
,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
1,Lamar Jackson,BAL,QB,17,4172,41,4,915,4,0,0,0,0,0,0,0,25.3,430.4
2,Ja'Marr Chase,CIN,WR,17,0,0,0,32,0,127,1708,17,0,0,0,0,23.7,403
3,Josh Allen,BUF,QB,17,3731,28,6,531,12,0,7,1,0,0,0,0,22.3,379
4,Joe Burrow,CIN,QB,17,4918,43,9,201,2,0,0,0,0,0,0,0,21.9,372.8
5,Baker Mayfield,TB,QB,17,4500,41,16,378,3,0,0,0,0,0,0,0,21.5,365.8
6,Jahmyr Gibbs,DET,RB,17,0,0,0,1412,16,52,517,4,0,0,0,0,21.3,362.9
7,Jayden Daniels,WAS,QB,17,3568,25,9,891,6,0,0,0,0,0,0,0,20.9,355.8
8,Saquon Barkley,PHI,RB,16,0,0,0,2005,13,33,278,2,0,0,0,0,22.2,355.3
9,Bijan Robinson,ATL,RB,17,0,0,0,1456,14,61,431,1,0,0,0,0,20.1,341.7
10,Derrick Henry,BAL,RB,17,0,0,0,1921,16,19,193,2,0,0,0,0,19.8,336.4
11,Jared Goff,DET,QB,17,4629,37,12,56,0,1,7,1,0,0,0,0,19.1,324.5
12,Justin Jefferson,MIN,WR,17,22,0,0,3,0,103,1533,10,0,0,0,0,18.7,317.5
13,Bo Nix,DEN,QB,17,3775,29,12,430,4,1,2,1,0,0,0,0,18.7,317.2
14,Amon-Ra St. Brown,DET,WR,17,7,1,0,6,0,115,1263,12,0,0,0,0,18.6,316.2
15,Jalen Hurts,PHI,QB,15,2903,18,5,630,14,0,0,0,0,0,0,0,21,315.1
16,Sam Darnold,MIN,QB,17,4319,35,12,212,1,0,0,0,0,0,0,0,18.1,308
17,De'Von Achane,MIA,RB,17,0,0,0,907,6,78,592,6,0,0,0,0,17.6,299.9
18,Kyler Murray,ARI,QB,17,3851,21,11,572,5,0,0,0,0,0,0,0,17.5,297.2
19,Josh Jacobs,GB,RB,17,0,0,0,1329,15,36,342,1,0,0,0,0,17.2,293.1
20,Justin Herbert,LAC,QB,17,3870,23,3,306,2,0,0,0,0,0,0,0,16.8,285.4
21,Brian Thomas Jr.,JAX,WR,17,0,0,0,48,0,87,1282,10,0,0,0,0,16.7,284
22,Patrick Mahomes,KC,QB,16,3928,26,11,307,2,1,2,0,0,0,0,0,17.7,283
23,Drake London,ATL,WR,17,0,0,0,-3,0,100,1271,9,0,0,0,0,16.5,280.8
24,Malik Nabers,NYG,WR,15,0,0,0,2,0,109,1204,7,0,0,0,0,18.2,273.6
25,Kyren Williams,LAR,RB,16,0,0,0,1299,14,34,182,2,0,0,0,0,17,272.1
26,Terry McLaurin,WAS,WR,17,0,0,0,2,0,82,1096,13,0,0,0,0,15.8,267.8
27,Brock Purdy,SF,QB,15,3864,20,12,323,5,0,0,0,0,0,0,0,17.8,266.9
28,James Cook,BUF,RB,16,0,0,0,1009,16,32,258,2,0,0,0,0,16.7,266.7
29,Geno Smith,SEA,QB,17,4320,21,15,272,2,0,0,0,0,0,0,0,15.6,266
30,Alvin Kamara,NO,RB,14,0,0,0,950,6,68,543,2,0,0,0,0,18.9,265.3
31,CeeDee Lamb,DAL,WR,15,0,0,0,70,0,101,1194,6,0,0,0,0,17.6,263.4
32,Brock Bowers,LV,TE,17,0,0,0,13,0,112,1194,5,0,0,0,0,15.5,262.7
33,Aaron Rodgers,NYJ,QB,17,3897,28,11,107,0,0,0,0,0,0,0,0,15.1,256.6
34,Chase Brown,CIN,RB,16,0,0,0,990,7,54,360,4,0,0,0,0,15.9,255
35,Caleb Williams,CHI,QB,17,3541,20,6,489,0,0,0,0,0,0,0,0,15,254.5
36,James Conner,ARI,RB,16,0,0,0,1094,8,47,414,1,0,0,1,0,15.9,253.8
37,Jaxon Smith-Njigba,SEA,WR,17,35,0,0,26,0,100,1130,6,0,0,0,0,14.9,253
38,Garrett Wilson,NYJ,WR,17,0,0,0,5,0,101,1104,7,0,0,0,0,14.8,251.9
39,Trey McBride,ARI,TE,16,0,0,0,2,2,111,1146,2,0,0,0,0,15.6,249.8
40,Jonathan Taylor,IND,RB,14,0,0,0,1431,11,18,136,1,0,0,0,1,17.6,246.7
41,Bucky Irving,TB,RB,17,0,0,0,1122,8,47,392,0,0,0,0,1,14.4,244.4
42,Aaron Jones,MIN,RB,17,0,0,0,1138,5,51,408,2,0,0,0,0,14.2,241.6
43,Chuba Hubbard,CAR,RB,15,0,0,0,1195,10,43,171,1,0,0,0,0,16.1,241.6
44,Davante Adams,NYJ,WR,14,0,0,0,0,0,85,1063,8,0,0,0,0,17.2,241.3
45,Ladd McConkey,LAC,WR,16,0,0,0,0,0,82,1149,7,0,0,0,0,15.1,240.9
46,Jerry Jeudy,CLE,WR,17,0,0,0,0,0,90,1229,4,0,0,0,0,14.2,240.9
47,Breece Hall,NYJ,RB,16,0,0,0,876,5,57,483,3,0,0,0,0,15.1,240.9
48,Joe Mixon,HOU,RB,14,0,0,0,1016,11,36,309,1,0,0,0,0,17.2,240.5
49,Mike Evans,TB,WR,14,0,0,0,0,0,74,1004,11,0,0,0,0,17.2,240.4
50,Courtland Sutton,DEN,WR,17,30,1,0,0,0,81,1081,8,0,0,0,0,14.1,240.3
51,DJ Moore,CHI,WR,17,0,0,0,75,0,98,966,6,0,0,0,0,14,238.1
52,George Kittle,SF,TE,15,0,0,0,0,0,78,1106,8,0,0,0,0,15.8,236.6
53,Jordan Love,GB,QB,15,3389,25,11,83,1,0,0,0,0,0,0,0,15.6,233.9
54,Jonnu Smith,MIA,TE,17,0,0,0,-1,0,88,884,8,0,0,0,0,13.1,222.3
55,Tee Higgins,CIN,WR,12,0,0,0,0,0,73,911,10,0,0,0,0,18.5,222.1
56,David Montgomery,DET,RB,14,3,1,0,775,12,36,341,0,0,0,0,0,15.8,221.7
57,C.J. Stroud,HOU,QB,17,3727,20,12,233,0,0,0,0,0,0,0,0,13,220.4
58,Tyreek Hill,MIA,WR,17,0,0,0,53,0,81,959,6,0,0,0,0,12.8,218.2
59,Jakobi Meyers,LV,WR,15,0,0,0,23,0,87,1027,4,0,0,0,0,14.5,218
60,A.J. Brown,PHI,WR,13,0,0,0,0,0,67,1079,7,0,0,0,0,16.7,216.9
61,Matthew Stafford,LAR,QB,16,3762,20,8,41,0,0,0,0,0,0,0,0,13.4,214.6
62,D'Andre Swift,CHI,RB,17,0,0,0,959,6,42,386,0,0,0,0,0,12.6,214.5
63,Jordan Addison,MIN,WR,15,0,0,0,20,1,63,875,9,0,0,0,0,14.2,212.5
64,Jameson Williams,DET,WR,15,0,0,0,61,1,58,1001,7,0,0,0,0,14.1,212.2
65,Nico Collins,HOU,WR,12,0,0,0,0,0,68,1006,7,0,0,0,0,17.6,210.6
66,Jauan Jennings,SF,WR,15,0,0,0,0,0,77,975,6,0,0,0,0,14,210.5
67,Zay Flowers,BAL,WR,17,0,0,0,56,0,74,1059,4,0,0,0,0,12.3,209.5
68,Puka Nacua,LAR,WR,11,0,0,0,46,1,79,990,3,0,0,0,0,18.8,206.6
69,Najee Harris,PIT,RB,17,0,0,0,1043,6,36,283,0,0,0,0,0,12,204.6
70,Tony Pollard,TEN,RB,16,0,0,0,1079,5,41,238,0,0,0,0,0,12.5,200.7
71,Rachaad White,TB,RB,16,0,0,0,613,3,51,393,6,0,0,0,0,12.5,199.6
72,DeVonta Smith,PHI,WR,13,0,0,0,1,0,68,833,8,0,0,0,0,15.3,199.4
73,Calvin Ridley,TEN,WR,17,0,0,0,55,1,64,1017,4,0,0,0,0,11.7,199.2
74,Rico Dowdle,DAL,RB,16,0,0,0,1079,2,39,249,3,0,0,0,0,12.4,197.8
75,Jayden Reed,GB,WR,17,0,0,0,163,1,55,857,6,0,0,0,0,11.6,197
76,Marvin Harrison Jr.,ARI,WR,17,0,0,0,0,0,62,885,8,0,0,0,0,11.6,196.5
77,Travis Kelce,KC,TE,16,0,0,0,1,0,97,823,3,0,0,0,0,12.2,195.4
78,Bryce Young,CAR,QB,14,2403,15,9,249,6,0,0,0,0,0,0,0,13.9,195
79,Darnell Mooney,ATL,WR,16,0,0,0,0,0,64,992,5,0,0,0,0,12.1,193.2
80,J.K. Dobbins,LAC,RB,13,0,0,0,905,9,32,153,0,0,0,0,0,14.8,191.8
81,DK Metcalf,SEA,WR,15,0,0,0,0,0,66,992,5,0,0,0,0,12.7,191.2
82,Mark Andrews,BAL,TE,17,0,0,0,5,0,55,673,11,0,0,0,0,11.1,188.8
83,Xavier Worthy,KC,WR,17,0,0,0,104,3,59,638,6,0,0,0,0,11,187.2
84,Zach Charbonnet,SEA,RB,17,0,0,0,569,8,42,340,1,0,0,0,0,11,186.9
85,Keenan Allen,CHI,WR,15,0,0,1,0,0,70,744,7,0,0,0,0,12.3,184.4
86,Chris Boswell,PIT,K,17,0,0,0,0,0,0,0,0,0,0,0,0,10.8,184
87,Zaire Franklin,IND,LB,17,0,0,0,0,0,0,0,0,4,2,5,0,10.8,184
88,Josh Downs,IND,WR,14,0,0,0,12,0,72,803,5,0,0,0,0,13.1,183.5
89,Wan'Dale Robinson,NYG,WR,17,0,0,0,18,0,93,699,3,0,0,0,0,10.7,182.7
90,Khalil Shakir,BUF,WR,15,0,0,0,4,0,76,821,4,0,0,0,0,12.2,182.5
91,Tyrone Tracy Jr.,NYG,RB,17,0,0,0,839,5,38,284,1,0,0,0,0,10.7,182.3
92,Tua Tagovailoa,MIA,QB,11,2867,19,7,49,0,0,0,0,0,0,0,0,16.5,181.6
93,Kenneth Walker III,SEA,RB,11,0,0,0,573,7,46,299,1,0,0,0,0,16.5,181.2
94,Brandon Aubrey,DAL,K,17,0,0,0,0,0,0,0,0,0,0,0,0,10.5,178
95,Zach Ertz,WAS,TE,17,0,0,0,0,0,66,654,7,0,0,0,0,10.4,177.4
96,Drake Maye,NE,QB,13,2276,15,10,421,2,0,0,0,0,0,0,0,13.6,177.1
97,Kirk Cousins,ATL,QB,14,3508,18,16,0,0,0,0,0,0,0,0,0,12.6,176.3
98,Rhamondre Stevenson,NE,RB,15,0,0,0,801,7,33,168,1,0,0,0,0,11.7,175.9
99,Cooper Kupp,LAR,WR,12,0,0,0,10,0,67,710,6,0,0,0,0,14.6,175
100,Quentin Johnston,LAC,WR,15,0,0,0,6,0,55,711,8,0,0,0,0,11.6,174.7
